Step: 1690, Elapsed: 402.68s, Loss: 138.777573, Valid Loss: 126.179970, y_init: 11.646791
Step: 1700, Elapsed: 404.93s, Loss: 126.688179, Valid Loss: 156.781006, y_init: 11.160299
Step: 1710, Elapsed: 407.12s, Loss: 351.919434, Valid Loss: 537.718933, y_init: 12.273093
Step: 1720, Elapsed: 409.40s, Loss: 144.937668, Valid Loss: 143.149887, y_init: 11.921398
Step: 1730, Elapsed: 411.67s, Loss: 118.101891, Valid Loss: 123.088219, y_init: 14.555295
Step: 1740, Elapsed: 413.86s, Loss: 160.839157, Valid Loss: 170.110901, y_init: 16.155470
Step: 1750, Elapsed: 416.13s, Loss: 165.914963, Valid Loss: 175.208740, y_init: 16.784575
Step: 1760, Elapsed: 418.31s, Loss: 172.493805, Valid Loss: 157.143890, y_init: 14.978569
Step: 1770, Elapsed: 420.56s, Loss: 182.685898, Valid Loss: 197.429428, y_init: 12.044071
Step: 1780, Elapsed: 422.81s, Loss: 166.923431, Valid Loss: 153.784317, y_init: 13.350098
Step: 1790, Elapsed: 425.00s, Loss: 176.775681, Valid Loss: 158.889771, y_init: 15.192802
Step: 1800, Elapsed: 427.25s, Loss: 151.364731, Valid Loss: 136.640549, y_init: 14.745080
Step: 1810, Elapsed: 429.44s, Loss: 132.985123, Valid Loss: 110.708839, y_init: 15.168139
Step: 1820, Elapsed: 431.69s, Loss: 138.315720, Valid Loss: 129.780304, y_init: 16.432659
Step: 1830, Elapsed: 433.88s, Loss: 1942.982422, Valid Loss: 3755.479248, y_init: 18.110847
Step: 1840, Elapsed: 436.14s, Loss: 18679.593750, Valid Loss: 37419.339844, y_init: 19.324276
Step: 1850, Elapsed: 438.39s, Loss: 145.535782, Valid Loss: 138.049728, y_init: 21.791197
Step: 1860, Elapsed: 440.58s, Loss: 136.823792, Valid Loss: 138.621689, y_init: 22.122128
Step: 1870, Elapsed: 442.84s, Loss: 156.478409, Valid Loss: 133.142792, y_init: 18.632620
Step: 1880, Elapsed: 445.03s, Loss: 130.939133, Valid Loss: 119.072929, y_init: 20.709217
Step: 1890, Elapsed: 447.28s, Loss: 126.218117, Valid Loss: 121.942505, y_init: 26.265877
Step: 1900, Elapsed: 449.54s, Loss: 141.271927, Valid Loss: 126.131157, y_init: 23.255287
Step: 1910, Elapsed: 451.73s, Loss: 164.254715, Valid Loss: 164.265137, y_init: 26.301325
Step: 1920, Elapsed: 453.98s, Loss: 253.409271, Valid Loss: 309.852356, y_init: 25.192764
Step: 1930, Elapsed: 456.17s, Loss: 303.275452, Valid Loss: 450.818359, y_init: 27.353840
